"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Alberto Oliveras","ALL","12","So","Lakeland","NACC","OF","33","31","115","126","23","28","9","0","2","8","43","38","11","0","0","0","0","4","1",".243",".310",".374",".684",".130",".347",".304",".302",".087",".016","13.71"
"Alec Babb","ALL","13","So","Oglethorpe","SAA","C","36","35","120","140","15","32","8","0","2","25","46","27","14","4","1","1","1","5","8",".267",".360",".383",".743",".117",".326",".332",".193",".100",".014","15.62"
"Alec Burns","ALL","15","So","Colby-Sawyer","Great Northeast","2B","21","19","64","68","5","16","1","0","0","4","17","14","3","1","0","0","1","1","2",".250",".294",".266",".560",".016",".320",".256",".206",".044",".000","4.66"
"Alec Cook","ALL","4","Sr","Linfield","NWC","INF","39","38","140","154","16","34","5","0","0","8","39","8","6","1","2","5","2","3","0",".243",".275",".279",".554",".036",".254",".240",".052",".039",".000","11.66"
"Alec Fantaskey","ALL","26","Sr","Waynesburg","PAC","INF","33","30","96","114","21","32","1","2","0","14","37","11","10","5","1","2","1","2","1",".333",".420",".385",".805",".052",".372",".358",".096",".088",".000","18.11"
"Alec Kotler","ALL","25","Fr","Carleton","MIAC","INF","12","9","15","29","5","3","1","0","0","4","4","5","10","1","0","3","0","0","0",".200",".538",".267",".805",".067",".300",".368",".172",".345",".000","4.46"
"Alec Kushner","ALL","8","Sr","MIT","NEWMAC","INF","43","43","163","198","26","42","10","0","3","26","61","31","17","12","5","1","1","1","2",".258",".360",".374",".734",".117",".291",".329",".157",".086",".015","24.61"
"Alec Lyle","ALL","11","So","MacMurray","SLIAC","DH","23","23","62","69","6","10","0","0","0","7","10","21","4","1","1","1","0","1","1",".161",".221",".161",".382",".000",".238",".179",".304",".058",".000","1.62"
"Alec Rabin","ALL","6","Jr","Wis.-Superior","UMAC","INF","25","21","67","75","10","18","1","0","0","3","19","7","7","0","0","1","0","2","1",".269",".338",".284",".622",".015",".300",".283",".093",".093",".000","7.77"
"Alec Ritch","ALL","39","Fr","Middlebury","NESCAC","OF","30","21","78","96","22","20","2","0","2","6","28","19","16","1","1","0","5","17","0",".256",".385",".359",".744",".103",".310",".341",".198",".167",".021","13.78"
"Alec Sames","ALL","7","Sr","Concordia-M'head","MIAC","C","31","31","104","124","10","30","8","0","1","15","41","7","11","6","3","0","0","0","3",".288",".379",".394",".773",".106",".293",".346",".056",".089",".008","16.65"
"Alec Seaton","ALL","11","So","William Peace","USA South","INF","33","33","119","130","12","35","1","0","1","15","39","15","10","0","1","0","2","1","3",".294",".346",".328",".674",".034",".327",".305",".115",".077",".008","14.12"
"Alec Silverman","ALL","17","Fr","Macalester","MIAC","C","12","11","29","39","4","6","1","0","1","3","10","10","8","1","1","0","0","2","0",".207",".385",".345",".730",".138",".263",".338",".256",".205",".026","5.31"
"Alec Taylor","ALL","15","Jr","MacMurray","SLIAC","DH","39","39","129","141","8","25","2","0","2","10","33","31","3","5","0","4","2","2","4",".194",".241",".256",".497",".062",".240",".221",".220",".021",".014","5.99"
"Alec Titmus","ALL","27","Jr","N.C. Wesleyan","USA South","INF","36","36","130","150","32","37","3","1","0","14","42","21","14","0","2","4","2","9","1",".285",".349",".323",".672",".038",".333",".296",".140",".093",".000","17.87"
"Alec Willey","ALL","19","Sr","Gordon","CCC","OF","35","33","96","121","14","19","7","0","1","10","29","29","14","6","3","2","1","5","2",".198",".328",".302",".630",".104",".261",".287",".240",".116",".008","11.14"
"Alejandro Fernandez","ALL","13","Sr","Cairn","CSAC","C","40","38","128","148","26","42","5","0","2","29","53","16","8","9","1","2","1","11","1",".328",".404",".414",".818",".086",".360",".363",".108",".054",".014","24.77"
"Aleq McMullin","ALL","2","Jr","Principia","SLIAC","P","32","31","100","122","17","24","5","0","3","17","38","35","12","8","1","1","1","1","3",".240",".364",".380",".744",".140",".333",".335",".287",".098",".025","14.32"
"Alex Baumann","ALL","6","Fr","Minn.-Morris","UMAC","ss","32","32","123","135","22","41","12","1","1","24","58","19","6","1","3","2","4","4","0",".333",".361",".472",".833",".138",".377",".354",".141",".044",".007","20.28"
"Alex Bearden","ALL","3","Jr","Macalester","MIAC","INF","14","11","39","44","5","8","3","0","0","5","11","8","4","1","0","0","0","0","2",".205",".295",".282",".577",".077",".258",".267",".182",".091",".000","2.75"
"Alex Behrman","ALL","25","Sr","Whitman","NWC","INF","33","29","108","127","13","29","2","0","0","12","31","26","13","4","1","1","2","4","1",".269",".365",".287",".652",".019",".349",".303",".205",".102",".000","13.99"
"Alex Benevides","ALL","20","Sr","Westfield St.","MASCAC","C","20","5","25","33","5","9","2","0","1","7","14","6","6","1","1","0","0","1","0",".360",".485",".560","1.045",".200",".421",".450",".182",".182",".030","7.37"
"Alex Black","ALL","18","Sr","St. Lawrence","Liberty League","P","29","21","48","62","9","12","2","2","0","8","18","28","13","1","0","0","0","1","0",".250",".419",".375",".794",".125",".600",".364",".452",".210",".000","9.31"
"Alex Burman","ALL","19","Jr","Susquehanna","Landmark","INF","39","39","159","186","31","61","10","1","3","35","82","24","24","2","1","0","1","1","5",".384",".468",".516",".984",".132",".436",".433",".129",".129",".016","37.24"
"Alex Cappitelli","ALL","25","Jr","Wesleyan (CT)","NESCAC","OF","35","33","131","158","32","36","7","2","0","14","47","15","13","10","2","2","1","3","2",".275",".378",".359",".737",".084",".305",".331",".095",".082",".000","20.54"
"Alex Carey","ALL","5","Jr","Northland","UMAC","C","20","15","56","60","6","15","3","0","0","12","18","6","3","0","1","0","0","1","2",".268",".300",".321",".621",".054",".294",".276",".100",".050",".000","5.31"
"Alex Chapman","ALL","19","Sr","Husson","North Atlantic","INF","43","42","122","159","27","32","5","1","2","27","45","29","31","1","2","3","3","16","5",".262",".410",".369",".779",".107",".323",".350",".182",".195",".013","22.45"
"Alex Cohen","ALL","11","So","Dickinson","Centennial","P","36","36","141","154","19","56","8","3","2","31","76","27","10","2","0","1","2","4","1",".397",".444",".539",".983",".142",".482",".427",".175",".065",".013","32.38"
"Alex Condello","ALL","40","Jr","DeSales","MAC Freedom","1B","23","11","46","56","8","17","1","0","2","8","24","10","7","2","0","1","0","0","0",".370",".473",".522",".995",".152",".441",".432",".179",".125",".036","11.85"
"Alex Corado","ALL","28","Jr","Caltech","SCIAC","OF","15","15","53","57","7","13","5","0","0","5","18","9","2","2","0","0","1","2","2",".245",".298",".340",".638",".094",".295",".286",".158",".035",".000","4.62"
"Alex Cordes","ALL","5","Jr","Coast Guard","NEWMAC","OF","30","25","92","107","10","17","1","0","0","7","18","23","11","0","0","4","1","4","3",".185",".272",".196",".468",".011",".246",".216",".215",".103",".000","4.85"
"Alex Denoyelle","ALL","5","Sr","Springfield","NEWMAC","C","26","22","68","82","5","11","0","0","2","8","17","21","12","1","1","0","4","3","1",".162",".293",".250",".543",".088",".196",".259",".256",".146",".024","4.71"
"Alex DiMartino","ALL","11","Jr","Babson","NEWMAC","C","28","21","78","97","15","23","6","0","1","15","32","30","12","1","3","3","1","2","1",".295",".383",".410",".793",".115",".440",".340",".309",".124",".010","13.36"
"Alex Doud","ALL","28","Jr","Wis.-Whitewater","WIAC","OF","45","45","167","184","21","58","7","1","2","42","73","32","12","2","3","0","3","10","2",".347",".391",".437",".828",".090",".412",".365",".174",".065",".011","30.19"
