"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Adrian Navarro","ALL","21","Fr","Oakland City","DII Independent","1B","15","9","32","38","6","8","2","0","1","5","13","8","4","0","0","2","0","0","0",".250",".333",".406",".739",".156",".304",".312",".211",".105",".026","4.59"
"Adrien Roa","ALL","10","So","Saint Leo","Sunshine State","OF","4","1","6","6","1","1","0","0","1","2","4","3","0","0","0","0","0","0","0",".167",".167",".667",".834",".500",".000",".350",".500",".000",".167","0.76"
"Adron Thompson","ALL","35","So","Kentucky St.","SIAC","INF","38","38","119","155","29","28","8","0","1","27","39","29","22","8","6","0","0","2","3",".235",".374",".328",".702",".092",".284",".323",".187",".142",".006","18.17"
"Aidan Baur","ALL","26","Fr","Newberry","SAC","INF","37","34","128","163","26","34","8","2","0","32","46","21","22","3","8","2","4","2","2",".266",".366",".359",".725",".094",".296",".320",".129",".135",".000","19.19"
"Aidan Gomes","ALL","7","Sr","Lincoln (PA)","ECC","INF","32","30","96","106","9","27","3","2","1","8","37","28","8","1","1","0","3","5","1",".281",".340",".385",".725",".104",".382",".322",".264",".075",".009","12.95"
"Aidan McNichol","ALL","44","Fr","N.M. Highlands","RMAC","1B","22","11","45","48","4","12","3","0","0","5","15","11","1","2","0","0","0","0","2",".267",".312",".333",".645",".067",".353",".291",".229",".021",".000","4.17"
"Aidan Welch","ALL","26","So","Colorado St.-Pueblo","RMAC","SS","44","33","127","158","29","42","12","2","3","40","67","25","13","12","3","3","0","2","2",".331",".432",".528",".960",".197",".382",".409",".158",".082",".019","29.55"
"Aidan Wilde","ALL","7","Fr","Stonehill","NE10","3b","46","46","160","197","35","50","8","3","3","21","73","45","26","8","0","3","0","6","0",".312",".433",".456",".889",".144",".420",".391",".228",".132",".015","35.55"
"Aiden Ladd","ALL","44","So","Augustana (SD)","NSIC","INF","23","14","52","57","10","14","2","0","1","13","19","12","3","2","0","0","0","1","1",".269",".333",".365",".698",".096",".333",".315",".211",".053",".018","6.62"
"AJ Barraza","ALL","38","Fr","Cal St. San B'dino","CCAA","INF","40","40","120","156","20","28","7","0","0","12","35","25","26","6","2","2","1","5","4",".233",".390",".292",".682",".058",".289",".319",".160",".167",".000","17.46"
"AJ Davis","ALL","21","So","Mo.-St. Louis","GLVC","INF","5","2","9","9","0","3","0","0","0","0","3","3","0","0","0","0","0","0","0",".333",".333",".333",".666",".000",".500",".297",".333",".000",".000","1.09"
"AJ Marsh","ALL","3","So","Missouri S&T","GLVC","OF","18","3","21","25","3","3","0","0","0","1","3","4","2","0","0","2","1","1","0",".143",".217",".143",".360",".000",".176",".162",".160",".080",".000","0.33"
"AJ Pena","ALL","3","Fr","USciences","CACC","INF","45","45","152","176","25","39","3","1","0","21","44","28","10","12","0","2","3","1","5",".257",".351",".289",".640",".033",".315",".296",".159",".057",".000","16.33"
"AJ Perez","ALL","22","Jr","Lubbock Christian","Heartland","OF","17","0","9","9","6","3","1","0","0","0","4","2","0","0","0","0","1","0","0",".333",".333",".444",".777",".111",".429",".339",".222",".000",".000","0.89"
"AJ Vasquez","ALL","27","Jr","Nyack","CACC","P","13","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Alan Burnsed","ALL","42","Jr","Fla. Southern","Sunshine State","DH","32","28","119","132","18","24","4","0","7","21","49","46","5","8","0","0","0","1","2",".202",".280",".412",".692",".210",".258",".307",".348",".038",".053","13.25"
"Alan Perry","ALL","35","Fr","Cedarville","G-MAC","SS","14","7","22","29","4","5","1","0","0","3","6","5","6","0","1","0","0","0","0",".227",".379",".273",".652",".045",".278",".309",".172",".207",".000","3.31"
"Alan Smith","ALL","3","Jr","Lee","Gulf South","INF","36","36","128","149","22","39","7","0","2","23","52","17","14","4","2","1","1","2","3",".305",".385",".406",".791",".102",".333",".351",".114",".094",".013","21.15"
"Alan Vasquez","ALL","24","Jr","Cal St. San B'dino","CCAA","P","6","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Alante Uribe","ALL","34","Sr","Holy Names","PacWest","INF","38","26","96","109","10","20","7","0","2","13","33","36","9","0","3","1","0","0","5",".208",".269",".344",".613",".135",".295",".267",".330",".083",".018","7.23"
"Alber Pichardo","ALL","23","Fr","Nyack","CACC","c","8","1","10","10","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".900",".000",".000","-1.10"
"Albert Cartenuto","ALL","15","Sr","Salem (WV)","DII Independent","C","15","10","23","30","3","3","0","0","1","2","6","16","4","3","0","0","0","1","0",".130",".333",".261",".594",".130",".333",".293",".533",".133",".033","2.72"
"Alec Aleywine","ALL","30","Jr","Tampa","Sunshine State","1B","53","48","187","223","46","54","11","4","8","35","97","33","33","1","2","0","2","5","3",".289",".395",".519",".914",".230",".311",".396",".148",".148",".036","38.44"
"Alec Burnett","ALL","28","N/A","UIndy","GLVC","ph/lf","1","0","2","3","0","1","0","0","0","1","1","1","0","1","0","0","0","0","0",".500",".667",".500","1.167",".000","1.000",".537",".333",".000",".000","0.83"
"Alec Ceniceros","ALL","15","Sr","Cal St. San B'dino","CCAA","INF","28","15","57","75","8","8","2","0","0","8","10","26","5","11","2","0","0","0","1",".140",".320",".175",".495",".035",".242",".257",".347",".067",".000","4.59"
"Alec Daily","ALL","5","Sr","Cal St. LA","CCAA","P","36","32","95","104","10","30","5","0","0","8","35","16","8","0","0","1","0","2","0",".316",".369",".368",".737",".053",".380",".328",".154",".077",".000","14.47"
"Alec Debruler","ALL","25","So","Walsh","G-MAC","DH","19","14","58","68","5","12","2","0","1","11","17","21","4","4","2","0","0","0","0",".207",".294",".293",".587",".086",".289",".269",".309",".059",".015","5.76"
"Alec Eldridge","ALL","2","Fr","Florida Tech","Sunshine State","SS","25","18","70","81","12","13","4","0","0","3","17","19","10","1","0","0","0","0","3",".186",".296",".243",".539",".057",".255",".256",".235",".123",".000","4.61"
"Alec Flemetakis","ALL","11","So","Dixie St.","RMAC","INF","29","22","69","89","18","26","2","0","1","12","31","14","13","2","1","4","1","5","2",".377",".482",".449",".931",".072",".455",".399",".157",".146",".011","16.86"
"Alec Graves","ALL","12","Jr","Walsh","G-MAC","INF","16","7","33","40","5","7","2","0","0","4","9","8","6","0","0","1","0","0","1",".212",".333",".273",".606",".061",".280",".278",".200",".150",".000","3.27"
"Alec Hunter","ALL","3","Fr","Queens (NC)","SAC","P","15","4","6","9","1","1","0","0","0","0","1","2","3","0","0","0","0","0","0",".167",".444",".167",".611",".000",".250",".329",".222",".333",".000","1.04"
"Alec Lee","ALL","31","Jr","Northern St.","NSIC","OF","34","30","98","115","20","25","4","0","2","12","35","35","11","5","1","0","1","1","1",".255",".357",".357",".714",".102",".371",".325",".304",".096",".017","13.62"
"Alec Ojeda","ALL","20","Sr","Lynn","Sunshine State","OF","42","42","163","191","32","48","9","3","2","22","69","29","15","8","4","1","1","4","4",".294",".374",".423",".797",".129",".338",".350",".152",".079",".010","27.28"
"Alec Petterson","ALL","5","Sr","Nyack","CACC","OF","46","46","160","199","34","45","15","2","1","23","67","47","21","13","1","4","2","7","2",".281",".405",".419",".824",".138",".389",".363",".236",".106",".005","29.59"
"Alec Villanueva","ALL","2","Fr","Saint Leo","Sunshine State","2B","6","2","9","13","3","3","0","1","0","1","5","2","2","1","0","1","0","0","0",".333",".500",".556","1.056",".222",".429",".423",".154",".154",".000","2.78"
"Alejandro Martinez","ALL","29","Sr","Lynn","Sunshine State","C","45","45","177","199","30","57","13","0","10","41","100","26","13","8","1","0","1","1","3",".322",".392",".565",".957",".243",".331",".415",".131",".065",".050","36.66"
"Alejandro Mejia","ALL","28","Fr","Caldwell","CACC","OF","34","19","72","89","16","21","1","0","0","8","22","26","4","5","1","7","1","15","0",".292",".366",".306",".672",".014",".447",".286",".292",".045",".000","12.00"
"Alekzander De La Cruz","ALL","44","So","Point Loma","PacWest","1B","22","9","45","50","7","11","2","1","3","11","24","11","3","2","0","0","0","0","1",".244",".320",".533",".853",".289",".258",".368",".220",".060",".060","7.27"
"Alex Achtermann","ALL","26","Sr","Pittsburg St.","Mid-America Intercollegiate","INF","52","52","175","222","30","50","7","1","4","26","71","44","41","3","3","0","3","8","1",".286",".423",".406",".829",".120",".354",".375",".198",".185",".018","35.52"
"Alex Allen","ALL","21","Sr","Lincoln Memorial","SAC","INF","47","42","139","185","36","31","6","2","1","19","44","38","26","20","0","0","1","10","3",".223",".416",".317",".733",".094",".300",".351",".205",".141",".005","24.90"
"Alex Athanacio","ALL","16","Jr","UC San Diego","CCAA","OF","36","32","109","136","26","33","10","0","5","27","58","29","22","2","3","0","1","2","4",".303",".419",".532",".951",".229",".359",".411",".213",".162",".037","23.54"
"Alex Banko","ALL","21","Sr","Fairmont St.","MEC","OF","18","0","6","8","7","1","0","0","0","1","1","3","2","0","0","0","0","0","0",".167",".375",".167",".542",".000",".333",".284",".375",".250",".000","0.69"
